City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fale old settlement,-9.3852,-171.2468,29.03,68,100,1.25,TK,1717897840
83,dalhart,36.0595,-102.5133,24.71,68,20,5.66,US,1717897840
84,tazacorte,28.629,-17.9293,19.54,88,0,3.13,ES,1717897841
85,remire-montjoly,4.9167,-52.2667,25.02,100,20,0.51,GF,1717897841
86,daru,-9.0763,143.2092,26.67,84,63,7.66,PG,1717897841
87,port blair,11.6667,92.75,29.02,79,75,4.63,IN,1717897842
88,ladario,-19.0047,-57.6017,21.95,48,83,0.48,BR,1717897843
89,bac lieu,9.285,105.7244,31.37,56,98,7.32,VN,1717897843
90,nieuw amsterdam,5.8833,-55.0833,25.09,90,67,3.0,SR,1717897844
91,takoradi,4.8845,-1.7554,25.69,87,96,4.14,GH,1717897844
92,fortaleza,-3.7227,-38.5247,28.45,83,75,4.63,BR,1717897738
93,hobyo,5.3505,48.5268,26.41,81,66,10.7,SO,1717897845
94,naracoorte,-36.9579,140.7383,14.07,55,3,2.64,AU,1717897845
95,marsh harbour,26.5412,-77.0636,28.42,75,3,4.13,BS,1717897846
96,dashitou,43.3067,128.5114,16.73,84,77,4.16,CN,1717897846
97,kruisfontein,-34.0033,24.7314,10.3,75,31,1.98,ZA,1717897847
98,papatowai,-46.5619,169.4708,11.3,75,100,3.59,NZ,1717897847
99,manta,-0.95,-80.7333,22.88,88,75,4.63,EC,1717897847
100,san sebastian de la gomera,28.0916,-17.1133,21.32,77,0,2.06,ES,1717897848
101,inhambane,-23.865,35.3833,20.04,60,69,6.32,MZ,1717897848
102,ciudad lazaro cardenas,17.9583,-102.2,26.13,77,19,3.05,MX,1717897833
103,hamilton,39.1834,-84.5333,23.43,68,100,3.6,US,1717897550
104,selfoss,63.9331,-20.9971,3.91,69,100,2.81,IS,1717897849
105,alofi,-19.0595,-169.9187,24.94,57,75,7.72,NU,1717897850
106,soroti,1.7146,33.6111,18.73,90,100,1.11,UG,1717897850
107,salinopolis,-0.6136,-47.3561,26.34,86,75,4.81,BR,1717897851
108,medicine hat,50.0501,-110.6683,14.06,44,40,5.14,CA,1717897500
109,egilsstadir,65.2653,-14.3948,4.95,87,75,1.54,IS,1717897852
110,mashi,12.9784,7.9529,30.09,51,55,5.04,NG,1717897852
111,collie,-33.3667,116.15,13.31,84,100,6.15,AU,1717897852
112,saipan,15.1355,145.701,32.39,66,40,5.66,MP,1717897853
113,ribeira grande,38.5167,-28.7,18.76,87,10,0.89,PT,1717897853
114,ar ruways,24.1103,52.7306,30.89,49,0,4.35,AE,1717897854
115,chuhar jamali,24.3895,67.9923,29.38,74,0,6.85,PK,1717897854
116,vilhena,-12.7406,-60.1458,19.61,55,0,1.68,BR,1717897781
117,mount gambier,-37.8333,140.7667,14.29,51,1,2.19,AU,1717897855
118,whitehorse,60.7161,-135.0538,24.43,21,75,4.63,CA,1717897856
119,minas de marcona,-15.2119,-75.1103,11.6,91,85,4.95,PE,1717897856
120,ain sukhna,29.6002,32.3167,25.35,61,0,1.9,EG,1717897856
121,vorgashor,67.5833,63.95,-1.22,93,96,2.49,RU,1717897598
122,dudinka,69.4058,86.1778,2.01,88,17,2.51,RU,1717897857
123,broadstairs,51.3591,1.4394,11.99,67,0,1.79,GB,1717897858
124,nemuro,43.3236,145.575,11.89,92,100,7.48,JP,1717897858
125,shijiazhuang,38.0414,114.4786,29.92,15,15,1.74,CN,1717897858
126,cole harbour,44.6724,-63.4751,12.18,97,83,4.92,CA,1717897584
127,sur,22.5667,59.5289,29.87,68,0,3.97,OM,1717897852
128,constantia,44.1833,28.65,16.5,59,0,2.37,RO,1717897860
129,sao joao da barra,-21.6403,-41.0511,22.79,78,0,3.63,BR,1717897860
130,carine,-31.854,115.7759,18.04,85,100,3.58,AU,1717897861
131,nar'yan-mar,67.6713,53.087,1.73,86,75,2.68,RU,1717897861
132,brookings,44.3114,-96.7984,22.0,40,0,2.57,US,1717897663
133,arraial do cabo,-22.9661,-42.0278,22.6,82,0,7.52,BR,1717897755
134,roccella ionica,38.322,16.4009,24.5,48,0,2.8,IT,1717897862
135,punta del este,-34.9667,-54.95,19.42,96,0,2.57,UY,1717897863
136,sorong,-0.8833,131.25,28.04,75,100,5.14,ID,1717897863
137,cannonvale,-20.2833,148.7,23.1,45,0,5.54,AU,1717897864
138,nelson bay,-32.7167,152.15,18.38,66,12,1.34,AU,1717897832
139,bankura,23.25,87.0667,35.93,36,0,4.7,IN,1717897865
140,box elder,41.5005,-112.8764,21.91,56,58,8.18,US,1717897865
141,bubaque,11.2833,-15.8333,26.39,77,100,3.62,GW,1717897865
142,camana,-16.6228,-72.7111,16.35,92,60,2.9,PE,1717897866
143,alaghsas,17.0187,8.0168,32.07,31,4,3.56,NE,1717897867
144,saldanha,-33.0117,17.9442,10.03,72,6,3.56,ZA,1717897867
145,griffith,41.5284,-87.4237,15.59,93,100,4.63,US,1717897868
146,rongelap,11.1635,166.8941,28.49,80,19,6.91,MH,1717897868
147,chagoda,59.164,35.3285,9.01,91,83,1.92,RU,1717897868
148,turpan,42.9333,89.1667,34.7,11,0,1.62,CN,1717897869
149,dawesville,30.9224,-84.0091,26.2,73,0,0.0,US,1717897869
150,astorp,56.1357,12.9443,10.98,86,75,7.2,SE,1717897870
151,vila franca do campo,37.7167,-25.4333,18.27,99,71,2.68,PT,1717897870
152,fort bragg,35.139,-79.006,25.91,61,0,0.0,US,1717897871
153,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,63,75,6.26,RU,1717897871
154,magong,23.5654,119.5863,27.03,85,14,3.97,TW,1717897871
155,afaahiti,-17.75,-149.2833,25.93,84,100,3.76,PF,1717897872
156,richards bay,-28.783,32.0377,13.74,75,0,2.23,ZA,1717897872
157,buka,40.8108,69.1986,26.99,31,0,1.22,UZ,1717897873
158,sisimiut,66.9395,-53.6735,3.3,97,100,1.79,GL,1717897873
159,tayoltita,24.0833,-105.9333,26.28,77,2,0.95,MX,1717897874
160,okhotsk,59.3833,143.3,7.72,75,17,4.31,RU,1717897874
161,north branch,45.5113,-92.9802,23.04,76,5,3.48,US,1717897874
162,tofol,5.3248,163.0078,30.88,70,75,3.6,FM,1717897875
163,andkhoy,36.9529,65.1238,29.55,21,0,2.24,AF,1717897875
164,anadyr,64.75,177.4833,4.28,80,40,7.0,RU,1717897876
165,puerto madryn,-42.7692,-65.0385,12.82,80,100,3.92,AR,1717897790
166,imperatriz,-5.5264,-47.4917,25.41,67,59,2.12,BR,1717897877
167,tucuma,-0.1833,-50.05,24.91,92,65,2.54,BR,1717897877
168,serta,39.8085,-8.0988,14.97,98,1,1.38,PT,1717897878
169,cidreira,-30.1811,-50.2056,17.05,95,100,4.51,BR,1717897878
170,hawaiian paradise park,19.5933,-154.9731,27.73,71,75,5.14,US,1717897879
171,tual,-5.6667,132.75,26.73,82,38,8.76,ID,1717897867
172,pindushi,62.9152,34.58,10.45,81,96,1.36,RU,1717897880
173,harstad,68.799,16.5293,11.25,96,0,3.58,NO,1717897881
174,conceicao do araguaia,-8.2578,-49.2647,24.23,57,12,1.0,BR,1717897881
175,elbeuf,49.2867,1.0029,10.37,93,0,1.03,FR,1717897882
176,sitka,57.0531,-135.33,12.94,76,100,6.17,US,1717897882
177,hermanus,-34.4187,19.2345,11.0,80,0,3.51,ZA,1717897883
178,warrnambool,-38.3833,142.4833,12.87,64,100,2.86,AU,1717897883
179,azangaro,-14.9167,-70.2167,2.53,34,9,0.56,PE,1717897883
180,ternate,0.8,127.4,28.82,71,100,1.82,ID,1717897884
181,walvis bay,-22.9575,14.5053,22.53,15,2,9.77,,1717897884
182,talara,-4.5772,-81.2719,18.78,89,52,6.58,PE,1717897598
183,kourou,5.1552,-52.6478,25.03,87,86,1.42,GF,1717897885
184,la mure,44.9026,5.7866,16.63,67,100,1.45,FR,1717897886
185,malango,-2.9627,119.9001,26.82,67,14,1.48,ID,1717897886
186,colonia,50.9333,6.95,12.75,83,0,3.09,DE,1717897868
187,kosh-agach,50.0,88.6667,13.5,64,100,6.26,RU,1717897887
188,dunedin,-45.8742,170.5036,8.78,85,100,2.68,NZ,1717897887
189,balkanabat,39.5108,54.3671,26.95,36,19,0.94,TM,1717897888
190,bonthe,7.5264,-12.505,25.68,86,66,0.76,SL,1717897888
191,guymon,36.6828,-101.4816,29.0,32,0,9.77,US,1717897888
192,coquimbo,-29.9533,-71.3436,13.85,78,0,2.57,CL,1717897824
193,ostrov,57.3439,28.3537,5.85,97,97,2.53,RU,1717897747
194,ta`u,-14.2336,-169.5144,26.29,72,98,9.87,AS,1717897890
195,new norfolk,-42.7826,147.0587,11.07,77,100,0.42,AU,1717897890
196,borgarnes,64.5383,-21.9206,6.03,85,100,3.76,IS,1717897891
197,castillos,-34.1667,-53.8333,16.75,97,100,2.76,UY,1717897891
198,balakhta,55.38,91.6,17.34,90,100,5.09,RU,1717897891
199,west island,-12.1568,96.8225,27.99,78,40,4.12,CC,1717897892
200,huanggang,23.677,116.9996,27.94,81,100,2.63,CN,1717897892
201,palmer,42.1584,-72.3287,18.46,73,20,2.06,US,1717897823
202,isola di capo rizzuto,38.96,17.0933,26.21,64,55,1.35,IT,1717897893
203,udachny,66.4167,112.4,18.03,54,65,4.65,RU,1717897894
204,sarkand,45.41,79.9186,25.76,37,51,0.56,KZ,1717897894
205,kiunga,-6.1219,141.2906,27.89,79,79,2.27,PG,1717897895
206,tionk essil,12.7856,-16.5217,26.03,78,100,3.07,SN,1717897895
207,mutoko,-17.397,32.2268,7.49,91,0,1.22,ZW,1717897895
208,yuzhno-kurilsk,44.0306,145.8556,11.32,98,100,6.0,RU,1717897896
209,lata,40.1629,-8.3327,12.82,99,21,0.28,PT,1717897896
210,smidovich,48.6,133.8167,12.04,97,100,3.68,RU,1717897897
211,alvaraes,-3.2208,-64.8042,25.47,82,40,0.8,BR,1717897897
